Month,Day,Sunrise,Sunset
Jan,1,07:09,17:13
Jan,2,07:09,17:14
Jan,3,07:10,17:15
Jan,4,07:10,17:16
Jan,5,07:10,17:16
Jan,6,07:10,17:17
Jan,7,07:10,17:18
Jan,8,07:10,17:19
Jan,9,07:10,17:20
Jan,10,07:10,17:20
Jan,11,07:10,17:21
Jan,12,07:10,17:22
Jan,13,07:10,17:23
Jan,14,07:09,17:24
Jan,15,07:09,17:25
Jan,16,07:09,17:26
Jan,17,07:09,17:27
Jan,18,07:09,17:28
Jan,19,07:08,17:28
Jan,20,07:08,17:29
Jan,21,07:08,17:30
Jan,22,07:07,17:31
Jan,23,07:07,17:32
Jan,24,07:07,17:33
Jan,25,07:06,17:34
Jan,26,07:06,17:35
Jan,27,07:05,17:36
Jan,28,07:05,17:37
Jan,29,07:04,17:38
Jan,30,07:03,17:39
Jan,31,07:03,17:40
Feb,1,07:02,17:41
Feb,2,07:02,17:42
Feb,3,07:01,17:43
Feb,4,07:00,17:44
Feb,5,06:59,17:44
Feb,6,06:59,17:45
Feb,7,06:58,17:46
Feb,8,06:57,17:47
Feb,9,06:56,17:48
Feb,10,06:55,17:49
Feb,11,06:55,17:50
Feb,12,06:54,17:51
Feb,13,06:53,17:52
Feb,14,06:52,17:53
Feb,15,06:51,17:53
Feb,16,06:50,17:54
Feb,17,06:49,17:55
Feb,18,06:48,17:56
Feb,19,06:47,17:57
Feb,20,06:46,17:58
Feb,21,06:45,17:59
Feb,22,06:44,17:59
Feb,23,06:43,18:00
Feb,24,06:42,18:01
Feb,25,06:40,18:02
Feb,26,06:39,18:03
Feb,27,06:38,18:04
Feb,28,06:37,18:04
Mar,1,06:36,18:05
Mar,2,06:35,18:06
Mar,3,06:34,18:07
Mar,4,06:32,18:07
Mar,5,06:31,18:08
Mar,6,06:30,18:09
Mar,7,06:29,18:10
Mar,8,06:27,18:10
Mar,9,06:26,18:11
Mar,10,06:25,18:12
Mar,11,06:24,18:13
Mar,12,07:22,19:13
Mar,13,07:21,19:14
Mar,14,07:20,19:15
Mar,15,07:18,19:15
Mar,16,07:17,19:16
Mar,17,07:16,19:17
Mar,18,07:15,19:18
Mar,19,07:13,19:18
Mar,20,07:12,19:19
Mar,21,07:11,19:20
Mar,22,07:09,19:20
Mar,23,07:08,19:21
Mar,24,07:07,19:22
Mar,25,07:05,19:22
Mar,26,07:04,19:23
Mar,27,07:03,19:24
Mar,28,07:01,19:24
Mar,29,07:00,19:25
Mar,30,06:59,19:26
Mar,31,06:58,19:26
Apr,1,06:56,19:27
Apr,2,06:55,19:28
Apr,3,06:54,19:28
Apr,4,06:52,19:29
Apr,5,06:51,19:30
Apr,6,06:50,19:30
Apr,7,06:49,19:31
Apr,8,06:47,19:32
Apr,9,06:46,19:33
Apr,10,06:45,19:33
Apr,11,06:44,19:34
Apr,12,06:42,19:35
Apr,13,06:41,19:35
Apr,14,06:40,19:36
Apr,15,06:39,19:37
Apr,16,06:38,19:37
Apr,17,06:36,19:38
Apr,18,06:35,19:39
Apr,19,06:34,19:40
Apr,20,06:33,19:40
Apr,21,06:32,19:41
Apr,22,06:31,19:42
Apr,23,06:30,19:42
Apr,24,06:29,19:43
Apr,25,06:28,19:44
Apr,26,06:27,19:45
Apr,27,06:26,19:45
Apr,28,06:25,19:46
Apr,29,06:24,19:47
Apr,30,06:23,19:48
May,1,06:22,19:48
May,2,06:21,19:49
May,3,06:20,19:50
May,4,06:19,19:50
May,5,06:18,19:51
May,6,06:17,19:52
May,7,06:16,19:53
May,8,06:15,19:53
May,9,06:15,19:54
May,10,06:14,19:55
May,11,06:13,19:56
May,12,06:12,19:56
May,13,06:12,19:57
May,14,06:11,19:58
May,15,06:10,19:59
May,16,06:10,19:59
May,17,06:09,20:00
May,18,06:08,20:01
May,19,06:08,20:01
May,20,06:07,20:02
May,21,06:07,20:03
May,22,06:06,20:03
May,23,06:06,20:04
May,24,06:05,20:05
May,25,06:05,20:05
May,26,06:04,20:06
May,27,06:04,20:07
May,28,06:03,20:07
May,29,06:03,20:08
May,30,06:03,20:08
May,31,06:02,20:09
Jun,1,06:02,20:10
Jun,2,06:02,20:10
Jun,3,06:02,20:11
Jun,4,06:01,20:11
Jun,5,06:01,20:12
Jun,6,06:01,20:12
Jun,7,06:01,20:13
Jun,8,06:01,20:13
Jun,9,06:01,20:14
Jun,10,06:01,20:14
Jun,11,06:01,20:15
Jun,12,06:01,20:15
Jun,13,06:01,20:15
Jun,14,06:01,20:16
Jun,15,06:01,20:16
Jun,16,06:01,20:16
Jun,17,06:01,20:17
Jun,18,06:01,20:17
Jun,19,06:01,20:17
Jun,20,06:01,20:18
Jun,21,06:01,20:18
Jun,22,06:02,20:18
Jun,23,06:02,20:18
Jun,24,06:02,20:18
Jun,25,06:02,20:18
Jun,26,06:03,20:19
Jun,27,06:03,20:19
Jun,28,06:03,20:19
Jun,29,06:04,20:19
Jun,30,06:04,20:19
Jul,1,06:04,20:19
Jul,2,06:05,20:19
Jul,3,06:05,20:19
Jul,4,06:06,20:19
Jul,5,06:06,20:18
Jul,6,06:07,20:18
Jul,7,06:07,20:18
Jul,8,06:08,20:18
Jul,9,06:08,20:18
Jul,10,06:09,20:17
Jul,11,06:09,20:17
Jul,12,06:10,20:17
Jul,13,06:10,20:17
Jul,14,06:11,20:16
Jul,15,06:11,20:16
Jul,16,06:12,20:15
Jul,17,06:13,20:15
Jul,18,06:13,20:15
Jul,19,06:14,20:14
Jul,20,06:14,20:14
Jul,21,06:15,20:13
Jul,22,06:16,20:13
Jul,23,06:16,20:12
Jul,24,06:17,20:11
Jul,25,06:18,20:11
Jul,26,06:18,20:10
Jul,27,06:19,20:10
Jul,28,06:20,20:09
Jul,29,06:20,20:08
Jul,30,06:21,20:07
Jul,31,06:22,20:07
Aug,1,06:22,20:06
Aug,2,06:23,20:05
Aug,3,06:24,20:04
Aug,4,06:24,20:04
Aug,5,06:25,20:03
Aug,6,06:26,20:02
Aug,7,06:27,20:01
Aug,8,06:27,20:00
Aug,9,06:28,19:59
Aug,10,06:29,19:58
Aug,11,06:29,19:57
Aug,12,06:30,19:56
Aug,13,06:31,19:55
Aug,14,06:31,19:54
Aug,15,06:32,19:53
Aug,16,06:33,19:52
Aug,17,06:33,19:51
Aug,18,06:34,19:50
Aug,19,06:35,19:49
Aug,20,06:35,19:48
Aug,21,06:36,19:47
Aug,22,06:37,19:46
Aug,23,06:37,19:44
Aug,24,06:38,19:43
Aug,25,06:39,19:42
Aug,26,06:39,19:41
Aug,27,06:40,19:40
Aug,28,06:40,19:38
Aug,29,06:41,19:37
Aug,30,06:42,19:36
Aug,31,06:42,19:35
Sep,1,06:43,19:33
Sep,2,06:44,19:32
Sep,3,06:44,19:31
Sep,4,06:45,19:30
Sep,5,06:46,19:28
Sep,6,06:46,19:27
Sep,7,06:47,19:26
Sep,8,06:47,19:24
Sep,9,06:48,19:23
Sep,10,06:49,19:22
Sep,11,06:49,19:20
Sep,12,06:50,19:19
Sep,13,06:50,19:18
Sep,14,06:51,19:16
Sep,15,06:52,19:15
Sep,16,06:52,19:14
Sep,17,06:53,19:12
Sep,18,06:53,19:11
Sep,19,06:54,19:10
Sep,20,06:55,19:08
Sep,21,06:55,19:07
Sep,22,06:56,19:06
Sep,23,06:57,19:04
Sep,24,06:57,19:03
Sep,25,06:58,19:02
Sep,26,06:58,19:00
Sep,27,06:59,18:59
Sep,28,07:00,18:58
Sep,29,07:00,18:56
Sep,30,07:01,18:55
Oct,1,07:02,18:54
Oct,2,07:02,18:52
Oct,3,07:03,18:51
Oct,4,07:04,18:50
Oct,5,07:04,18:48
Oct,6,07:05,18:47
Oct,7,07:06,18:46
Oct,8,07:06,18:44
Oct,9,07:07,18:43
Oct,10,07:08,18:42
Oct,11,07:08,18:41
Oct,12,07:09,18:40
Oct,13,07:10,18:38
Oct,14,07:10,18:37
Oct,15,07:11,18:36
Oct,16,07:12,18:35
Oct,17,07:13,18:34
Oct,18,07:13,18:32
Oct,19,07:14,18:31
Oct,20,07:15,18:30
Oct,21,07:16,18:29
Oct,22,07:17,18:28
Oct,23,07:17,18:27
Oct,24,07:18,18:26
Oct,25,07:19,18:25
Oct,26,07:20,18:24
Oct,27,07:21,18:23
Oct,28,07:21,18:22
Oct,29,07:22,18:21
Oct,30,07:23,18:20
Oct,31,07:24,18:19
Nov,1,07:25,18:18
Nov,2,07:26,18:17
Nov,3,07:26,18:16
Nov,4,07:27,18:16
Nov,5,06:28,17:15
Nov,6,06:29,17:14
Nov,7,06:30,17:13
Nov,8,06:31,17:13
Nov,9,06:32,17:12
Nov,10,06:33,17:11
Nov,11,06:34,17:10
Nov,12,06:34,17:10
Nov,13,06:35,17:09
Nov,14,06:36,17:09
Nov,15,06:37,17:08
Nov,16,06:38,17:08
Nov,17,06:39,17:07
Nov,18,06:40,17:07
Nov,19,06:41,17:06
Nov,20,06:42,17:06
Nov,21,06:43,17:05
Nov,22,06:43,17:05
Nov,23,06:44,17:05
Nov,24,06:45,17:04
Nov,25,06:46,17:04
Nov,26,06:47,17:04
Nov,27,06:48,17:04
Nov,28,06:49,17:03
Nov,29,06:50,17:03
Nov,30,06:50,17:03
Dec,1,06:51,17:03
Dec,2,06:52,17:03
Dec,3,06:53,17:03
Dec,4,06:54,17:03
Dec,5,06:55,17:03
Dec,6,06:55,17:03
Dec,7,06:56,17:03
Dec,8,06:57,17:03
Dec,9,06:58,17:03
Dec,10,06:58,17:03
Dec,11,06:59,17:03
Dec,12,07:00,17:04
Dec,13,07:00,17:04
Dec,14,07:01,17:04
Dec,15,07:02,17:04
Dec,16,07:02,17:05
Dec,17,07:03,17:05
Dec,18,07:04,17:05
Dec,19,07:04,17:06
Dec,20,07:05,17:06
Dec,21,07:05,17:07
Dec,22,07:06,17:07
Dec,23,07:06,17:08
Dec,24,07:06,17:08
Dec,25,07:07,17:09
Dec,26,07:07,17:09
Dec,27,07:08,17:10
Dec,28,07:08,17:11
Dec,29,07:08,17:11
Dec,30,07:09,17:12
Dec,31,07:09,17:13
